Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR12BB,51.404469,0.04752,F,2,N,2,A,1,D,2,12.231,1,51.47,?-0.0942,29.417,0,51.1536621,0.182062,900000
BR12DJ,51.39822,0.042856,L,1,N,2,B,2.5,F,1,12.408,1,51.47,?-0.0942,28.866,0,51.1536621,0.182062,292000
BR12DN,51.397503,0.042163,F,2,N,2,A,1,T,1.5,12.423,1,51.47,?-0.0942,28.807,0,51.1536621,0.182062,460000
BR12EJ,51.395346,0.043145,F,2,N,2,A,1,T,1.5,12.632,1,51.47,?-0.0942,28.559,0,51.1536621,0.182062,550000
BR12ES,51.391586,0.043179,F,2,N,2,A,1,D,2,12.912,1,51.47,?-0.0942,28.165,0,51.1536621,0.182062,475000
BR12HH,51.398819,0.050747,F,2,N,2,A,1,D,2,12.791,1,51.47,?-0.0942,28.75,0,51.1536621,0.182062,1165000
BR12HS,51.399428,0.058092,F,2,N,2,A,1,D,2,13.154,1,51.47,?-0.0942,28.656,0,51.1536621,0.182062,1100000
BR12HZ,51.398158,0.053578,F,2,N,2,A,1,T,1.5,12.991,1,51.47,?-0.0942,28.618,0,51.1536621,0.182062,896000
BR12QB,51.408924,0.037539,F,2,N,2,B,2.5,O,7,11.38,1,51.47,?-0.0942,30.111,0,51.1536621,0.182062,1090000
BR12QG,51.403823,0.037125,F,2,N,2,A,1,S,1.5,11.705,1,51.47,?-0.0942,29.587,0,51.1536621,0.182062,590000
BR12QL,51.400377,0.035175,F,2,N,2,B,2.5,O,7,11.847,1,51.47,?-0.0942,29.274,0,51.1536621,0.182062,105000
BR12QS,51.413184,0.044415,F,2,N,2,A,1,D,2,11.498,1,51.47,?-0.0942,30.404,0,51.1536621,0.182062,855000
BR12RE,51.398617,0.033429,F,2,N,2,A,1,T,1.5,11.886,1,51.47,?-0.0942,29.134,0,51.1536621,0.182062,425000
BR12RG,51.405535,0.035404,L,1,N,2,A,1,F,1,11.493,1,51.47,?-0.0942,29.807,0,51.1536621,0.182062,286000
BR12SJ,51.401224,0.034522,F,2,N,2,A,1,T,1.5,11.752,1,51.47,?-0.0942,29.378,0,51.1536621,0.182062,425000
BR12SS,51.401022,0.033737,F,2,N,2,A,1,T,1.5,11.725,1,51.47,?-0.0942,29.376,0,51.1536621,0.182062,400000
BR12TE,51.412291,0.036811,F,2,N,2,A,1,D,2,11.119,1,51.47,?-0.0942,30.481,0,51.1536621,0.182062,740000
BR12TP,51.403029,0.053739,F,2,N,2,A,1,D,2,12.673,1,51.47,?-0.0942,29.13,0,51.1536621,0.182062,820000
BR12TT,51.410054,0.033548,L,1,N,2,A,1,F,1,11.083,1,51.47,?-0.0942,30.323,0,51.1536621,0.182062,385000
BR12WB,51.412391,0.043948,L,1,N,2,A,1,F,1,11.52,1,51.47,?-0.0942,30.331,0,51.1536621,0.182062,410000
BR12WR,51.412668,0.044579,L,1,N,2,A,1,F,1,11.54,1,51.47,?-0.0942,30.346,0,51.1536621,0.182062,590000
BR13AF,51.407314,0.024066,L,1,N,2,A,1,F,1,10.76,1,51.47,?-0.0942,30.27,0,51.1536621,0.182062,345000
BR13BA,51.406527,0.026892,L,1,N,2,A,1,F,1,10.966,1,51.47,?-0.0942,30.117,0,51.1536621,0.182062,280000
BR13BH,51.404365,0.029744,F,2,N,2,A,1,D,2,11.273,1,51.47,?-0.0942,29.822,0,51.1536621,0.182062,750000
BR13DE,51.402174,0.022257,F,2,N,2,A,1,S,1.5,11.047,1,51.47,?-0.0942,29.785,0,51.1536621,0.182062,793500
