Pcd,Lat,Long,Duration,Old Or New,Prd Category Type,Property Type,Price
BR12BB,51.404469,0.04752,F,N,A,D,900000
BR12DJ,51.39822,0.042856,L,N,B,F,292000
BR12DN,51.397503,0.042163,F,N,A,T,460000
BR12EJ,51.395346,0.043145,F,N,A,T,550000
BR12ES,51.391586,0.043179,F,N,A,D,475000
BR12HH,51.398819,0.050747,F,N,A,D,1165000
BR12HS,51.399428,0.058092,F,N,A,D,1100000
BR12HZ,51.398158,0.053578,F,N,A,T,896000
BR12QB,51.408924,0.037539,F,N,B,O,1090000
BR12QG,51.403823,0.037125,F,N,A,S,590000
BR12QL,51.400377,0.035175,F,N,B,O,105000
BR12QS,51.413184,0.044415,F,N,A,D,855000
BR12RE,51.398617,0.033429,F,N,A,T,425000
BR12RG,51.405535,0.035404,L,N,A,F,286000
BR12SJ,51.401224,0.034522,F,N,A,T,425000
BR12SS,51.401022,0.033737,F,N,A,T,400000
BR12TE,51.412291,0.036811,F,N,A,D,740000
BR12TP,51.403029,0.053739,F,N,A,D,820000
BR12TT,51.410054,0.033548,L,N,A,F,385000
BR12WB,51.412391,0.043948,L,N,A,F,410000
BR12WR,51.412668,0.044579,L,N,A,F,590000
BR13AF,51.407314,0.024066,L,N,A,F,345000
BR13BA,51.406527,0.026892,L,N,A,F,280000
BR13BH,51.404365,0.029744,F,N,A,D,750000
BR13DE,51.402174,0.022257,F,N,A,S,793500
BR13DE,51.402174,0.022257,F,N,A,S,735000
BR13DN,51.404012,0.026767,F,N,A,D,995000
BR13DS,51.405273,0.023487,F,N,A,S,750000
BR13DY,51.406415,0.029217,L,N,A,F,177500
BR13EZ,51.40539,0.027144,F,N,A,D,990000
BR13HY,51.410428,0.024922,F,N,A,S,700000
BR13JJ,51.410681,0.020202,F,N,A,S,1285000
BR13JL,51.41126,0.021565,L,N,A,F,330000
BR13LD,51.409623,0.0226,F,N,A,T,420000
BR13QE,51.413205,0.012505,F,N,A,T,407000
BR13QE,51.413205,0.012505,F,N,A,T,430000
BR13QE,51.413205,0.012505,F,N,A,T,438750
BR13QP,51.413934,0.01304,F,N,A,S,680000
BR13RH,51.411824,0.010201,F,N,A,S,553000
BR13RP,51.413703,0.011261,L,N,A,S,340000
BR13TF,51.413946,0.023798,L,N,A,F,450000
BR14AS,51.41411,0.002217,F,N,A,D,567500
BR14AY,51.410365,0.004557,L,N,A,F,355000
BR14DR,51.41627,0.018378,F,N,A,T,510000
BR14EL,51.417959,0.014281,F,N,A,D,635000
BR14EX,51.419931,0.006242,F,N,A,S,675000
