pcd,price,lng,lat
BR11AA,146000,0.015415,51.401546
BR11BQ,160000,0.015874,51.408058
BR11HT,260000,0.014249,51.401521
BR11LR,279545.45,0.01784,51.401108
BR11RH,295000,0.016607,51.406741
BR11TT,155000,0.017049,51.402084
BR12AA,710000,0.043619,51.403386
BR12AD,488000,0.04665,51.404296
BR12AL,387500,0.055233,51.405557
BR12AY,462499.5,0.052209,51.401608
BR12BS,372500,0.038262,51.398345
BR12BT,245500,0.03852,51.398655
BR12BY,286250,0.040978,51.398981
BR12DJ,311000,0.042856,51.39822
BR12DS,250000,0.039597,51.40057
BR12EP,387000,0.045368,51.392007
BR12FE,304000,0.060603,51.398367
BR12FQ,305000,0.061769,51.398401
BR12GP,334400,0.032,51.4013
BR12JH,220000,0.047427,51.395298
BR12PU,530000,0.033942,51.408231
BR12PX,570000,0.035068,51.409308
BR12QN,231500,0.03613,51.400198
BR12RG,286000,0.035404,51.405535
BR12SF,305000,0.030091,51.404089
BR12SN,180000,0.034147,51.401519
BR12SR,259285.71,0.033385,51.400866
BR12SY,435000,0.040854,51.410071
BR12TG,100000,0.032695,51.409943
BR12TT,415000,0.033548,51.410054
BR12WB,410000,0.043948,51.412391
BR12WR,590000,0.044579,51.412668
BR13AA,290000,0.020438,51.406882
BR13AE,131500,0.029467,51.406879
BR13AF,345000,0.024066,51.407314
BR13AG,292500,0.024103,51.408158
BR13AN,390000,0.031756,51.406614
BR13AX,313000,0.030981,51.406646
BR13BA,260333.33,0.026892,51.406527
BR13BF,332750,0.019446,51.406251
BR13BN,360000,0.029916,51.405657
BR13BP,225000,0.030046,51.406311
BR13BX,322500,0.02774,51.406504
BR13DH,250000,0.028652,51.406974
BR13DY,177500,0.029217,51.406415
BR13EA,141000,0.017858,51.405451
BR13EH,380000,0.0236,51.41305
BR13FB,416250,0.03021,51.406767
BR13FH,499999,0.027565,51.411327
BR13FJ,982500,0.035691,51.41847
BR13FL,656825,0.0376,51.4169
BR13HA,320000,0.019044,51.40821
BR13HG,92500,0.019661,51.407543
BR13HP,358437.5,0.022665,51.408156
BR13HS,300000,0.026764,51.410118
BR13JA,296250,0.025501,51.409852
BR13JJ,86000,0.020202,51.410681
BR13JL,306666.67,0.021565,51.41126
BR13JX,265000,0.020868,51.408826
BR13NT,339750,0.015674,51.409734
BR13NY,360000,0.024703,51.409362
BR13PA,230000,0.01967,51.414269
BR13PD,364000,0.025153,51.409462
BR13PF,357000,0.015846,51.412995
BR13PR,410000,0.012641,51.409426
BR13PS,327000,0.012151,51.409407
BR13PY,390000,0.012385,51.409826
BR13PZ,310000,0.012646,51.410199
BR13QD,88750,0.013528,51.411938
BR13QE,276000,0.012505,51.413205
BR13QF,312833.33,0.012941,51.413306
BR13QN,425000,0.014693,51.41359
BR13QW,235000,0.014007,51.413359
BR13QZ,340000,0.009744,51.411562
BR13RG,226500,0.010625,51.412959
BR13RP,338000,0.011261,51.413703
BR13RQ,220000,0.010819,51.41247
BR13RS,425000,0.009301,51.409007
BR13RT,285000,0.008504,51.407555
BR13RU,284000,0.009062,51.407833
BR13RZ,260000,0.007981,51.409731
BR13SB,365750,0.007874,51.41288
BR13SD,295000,0.008119,51.412552
BR13SJ,290000,0.003619,51.414221
BR13SL,287000,0.005316,51.415217
BR13SP,280000,0.003911,51.414
BR13TF,450000,0.023798,51.413946
BR13TR,237500,0.022104,51.413697
BR13TS,260000,0.004895,51.415125
BR13TY,345000,0.003351,51.414684
BR13UD,319000,0.005189,51.415606
BR13WB,277500,0.005455,51.41445
BR13WF,275000,0.015703,51.408807
BR13WU,340000,0.006075,51.414161
BR14AB,335000,0.006866,51.408572
BR14AY,355000,0.004557,51.410365
BR14DZ,233000,0.021124,51.415593
BR14EA,318000,0.017647,51.413396
BR14EF,175000,0.006376,51.416422
BR14EG,241500,0.013408,51.417075
BR14EN,302500,0.016388,51.418435
BR14FA,385000,0.000185,51.416977
BR14HB,284000,0.008653,51.415223
BR14HE,260000,0.014741,51.414678
BR14HX,177666.67,0.006867,51.415811
BR14JX,175000,-0.001653,51.420948
BR14JY,350000,-0.004517,51.421914
BR14LX,197000,-0.005706,51.424659
BR14NF,255000,-0.001222,51.423251
BR14NZ,255000,0.008865,51.415138
BR14TN,320000,-0.002088,51.423851
BR15AA,202700,0.019418,51.42029
BR15AH,237500,0.022605,51.421458
BR15DF,260000,0.023125,51.425478
BR15EA,230000,0.016005,51.426742
BR15EU,218000,0.005236,51.431459
BR15HL,245000,0.009065,51.431511
BR15RL,220000,-0.00987,51.428462
BR15RU,300000,-0.012345,51.42845
BR15SJ,320000,-0.010605,51.429769
BR20AB,266800,-0.004864,51.40701
BR20AH,312000,-0.001327,51.407327
